slot_id,name,date_added,time_added,hash,last_score
0,Spass,2025-05-20,03:49:07,17456e44e0c3982ef61743f50b4a948fd957d50c4cfeee3b1666305f7bbf40c0,0
1,,2025-05-20,03:49:23,8e38422538f6e5e7346bc53c3d8919e1911dadf9d59b6165fbe673ccc750b8fa,272
2,Spass,2025-05-20,03:49:29,6ff5582fa58fe8b17c6a1e8de788258fc49c4134a2e2d8e1a327fcac32626b6b,113
